principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,carbon_area,carbon_mass,Jmax,latin_genus,latin_species,leaf_mass_per_area,nitrogen_area,nitrogen_mass,Rd,Vcmax,leaf_dry_matter_content,equivalent_water_thickness,latitude,longitude,dataset,Unnamed: 2016,species_name,chlorophyll_area,chlorophyll_mass,carotenoids_area,carotenoids_mass,phenolics_mass,phenolics_area,solubles_mass,hemicellulose_mass,cellulose_mass,lignin_mass,aluminum_mass,boron_mass,calcium_mass,copper_mass,iron_mass,potassium_mass,magnesium_mass,manganese_mass,sodium_mass,phosphorus_mass,zinc_mass,solubles_area,hemicellulose_area,cellulose_area,lignin_area,aluminum_area,calcium_area,copper_area,iron_area,potassium_area,magnesium_area,manganese_area,sodium_area,phosphorus_area,zinc_area,boron_area,bio_1,bio_12,bio_13-14,bio_15,bio_4,bio_7,clay_15-30cm_mean_0.01_deg,nitrogen_15-30cm_mean_0.01_deg,sand_15-30cm_mean_0.01_deg,soc_15-30cm_mean_0.01_deg
-19.57527,25.953382,1.2316043,-15.089868,-6.936634,-7.105742,2.4183502,4.4018855,3.7361171,-0.06412355,6.125,491.6,97.60864091,Terminalia,amazonia,0.012459,0.182,14.6,0.457442022,51.49021937,500.0,0.012459,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-29.095322,-3.6452787,2.5961137,-8.248475,-3.917555,-0.5908866,2.244028,-1.7740568,0.5820036,-0.14602867,3.508,487.0,95.04311989,Miconia,borealis,0.007204,0.138,19.1,1.001823495,60.57165378,389.9,0.0112725324442165,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-15.001114,31.752146,-35.44074,1.9477098,0.9147628,-5.844724,-1.0222359,1.9939169,0.8231802,-3.469804,5.752,477.9,98.87485661,Vochysia,ferruginea,0.012037,0.178,14.8,1.439670297,49.85403682,453.1,0.0145288794967998,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
18.37149,-2.0689716,-12.191812,-0.03025326,0.67511815,-3.2619684,-0.21155328,-0.1553312,1.7183051,-1.0428072,3.963,455.7,114.6085019,Guatteria,dumetorum,0.008696,0.17,19.5,0.120660047,75.40768112,515.5,0.0081730591658583,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-14.049054,6.547198,-30.037851,1.8389152,-0.6358811,-6.3804884,-2.6799767,0.94394183,3.7861488,-1.8635925,6.082,489.7,90.04354216,Terminalia,amazonia,0.01242,0.197,15.9,0.764725657,48.39481789,332.6,0.0249221527360192,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-5.525206,-4.254567,-24.462168,1.8358734,1.7701173,-3.501811,-1.8183957,-0.12183398,2.0728633,-2.3074033,4.383,451.7,85.28630732,Guatteria,dumetorum,0.009703,0.198,20.4,0.885845665,44.32840593,352.0,0.0178623409090909,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-45.752094,1.3799562,-15.496246,1.9353378,-2.3659968,-1.9197317,-0.75124615,-3.0196486,0.38225412,-1.0107403,5.151,511.8,148.8168405,Miconia,borealis,0.010065,0.241,23.9,0.472399366,105.1814986,232.7,0.0331881155994843,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-26.028744,22.453129,13.498313,-25.453169,-4.3621287,-4.396451,2.5192668,6.162405,2.5769281,-1.5409223,4.441,458.1,54.73328131,Vochysia,ferruginea,0.009695,0.085,8.8,0.485729411,37.52032721,395.0,0.0148493037974684,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
0.80940413,-2.8131628,-25.42783,-1.3018998,1.4270082,-4.521569,-0.8738477,0.06860166,2.0419855,-2.7192576,4.234,489.0,,Guatteria,dumetorum,0.008658,0.157,18.1,,,284.9,0.0217316103896104,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-43.847244,-2.586993,-15.5285635,1.2193735,-1.631248,-3.434605,-0.8509708,-1.7325296,2.0639892,-1.0561732,5.463,528.5,140.8561381,Miconia,borealis,0.010336,0.228,22.1,0.358446262,96.60608,466.9,0.0118015026772328,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-19.052412,-7.650456,-29.120684,-2.8435335,0.8256414,-3.3628068,-0.67293,0.82862127,0.70274585,-2.6776264,4.148,445.5,53.20656125,Guatteria,dumetorum,0.00931,0.143,15.4,0.863651975,28.46135583,469.3,0.0105280566801619,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-38.77768,-5.610087,7.1900463,-12.087868,-3.776583,-0.2457846,2.3616323,-1.6174103,0.16133104,-0.3548261,3.082,506.0,100.0351578,Miconia,borealis,0.006091,0.133,21.9,1.032537578,69.49323835,445.8,0.0075720776132795,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-36.270092,1.7745289,-10.4037075,-0.3483529,-2.9943807,-1.9684019,0.21170996,-2.6711974,0.4105313,-0.90326804,4.784,556.9,165.9370982,Miconia,borealis,0.00859,0.187,21.8,0.231644715,115.9922246,417.6,0.0119799233716475,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-18.359621,-7.055407,-22.691692,-4.4281054,-3.1737788,-1.713826,-0.13434772,0.106744714,-1.6635902,-1.1528764,3.945,491.3,135.2198024,Guatteria,dumetorum,0.00803,0.136,16.9,-0.277010157,110.1868964,396.9,0.0122017964222726,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-26.713715,0.46491563,6.9253216,-17.534563,-6.7132373,-2.8486283,1.5891593,2.6162343,0.5266185,-0.76379114,3.885,502.1,110.4878793,Guatteria,dumetorum,0.007738,0.149,19.2,0.514129319,69.99139813,417.2,0.0108094592521572,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-44.58755,-8.138864,5.846049,-12.556195,-3.261205,0.19456044,1.7262304,-1.5531805,-0.07122758,-0.325816,5.441,492.6,102.2862774,Miconia,borealis,0.011046,0.263,23.8,1.149539494,64.16551869,350.8,0.0204420273660205,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-35.602932,14.672956,-31.402634,0.9145422,-1.599934,-0.8349294,-1.2732948,0.5396545,-1.1188734,-2.1381905,5.809,459.9,,Vochysia,ferruginea,0.01263,0.177,14.0,,,447.0,0.015625033557047,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
